Date,Open,High,Low,Close,Volume,Adj Close
2014-08-04,382.55,386.60,373.00,376.90,6531400,369.911
2014-08-01,370.50,387.10,370.05,380.05,8426600,373.003
2014-07-31,374.00,375.20,370.05,372.90,8283400,365.985
2014-07-30,358.00,374.30,358.00,373.15,11240800,366.231
2014-07-29,353.95,353.95,353.95,353.95,000,347.387
2014-07-28,356.50,357.00,351.20,353.95,3425100,347.387
2014-07-25,355.50,357.90,351.15,354.80,3126500,348.221
2014-07-24,354.00,356.00,351.15,354.60,2056300,348.025
2014-07-23,354.15,356.70,349.75,354.35,5063700,347.779
2014-07-22,340.00,356.80,340.00,354.15,9764900,347.583
2014-07-21,337.00,340.00,334.10,337.20,1516400,330.947
2014-07-18,335.60,339.05,334.10,336.25,1967300,330.015
2014-07-17,336.95,339.80,335.50,336.60,1445500,330.359
2014-07-16,333.00,337.50,330.00,336.20,4144500,329.966
2014-07-15,333.10,335.55,329.55,334.55,2515400,328.347
2014-07-14,333.05,335.00,326.60,332.10,3561500,325.942
2014-07-11,333.00,336.90,330.35,335.50,3805500,329.279
2014-07-10,344.00,345.50,329.00,334.05,5953100,327.856
2014-07-09,340.85,344.80,338.05,341.50,2626200,335.168
2014-07-08,344.50,347.35,337.80,340.55,3985500,334.235
2014-07-07,340.55,346.90,339.20,344.45,5556800,338.063
2014-07-04,341.25,345.20,337.45,339.25,4176600,332.959
2014-07-03,340.00,342.20,336.00,336.95,3681900,330.702
2014-07-02,337.70,339.90,336.05,338.15,2916000,331.88
2014-07-01,337.25,341.75,334.65,335.50,2116400,329.279
2014-06-30,332.00,338.00,332.00,336.90,4630000,330.653
2014-06-27,339.90,339.90,329.15,331.70,6287900,325.549
2014-06-26,335.50,341.00,335.15,338.45,4290800,332.174
2014-06-25,338.00,338.70,332.05,337.00,5673900,330.751
2014-06-24,343.00,345.40,338.75,340.95,3167100,334.628
2014-06-23,337.00,343.65,337.00,341.55,4394900,335.217
2014-06-20,336.10,339.85,333.30,338.75,2759400,332.469
2014-06-19,338.85,344.80,336.40,338.15,4307700,331.88
2014-06-18,337.00,344.90,336.35,340.25,5906800,333.941
2014-06-17,333.00,340.20,333.00,338.25,3946000,331.978
2014-06-16,332.50,335.40,327.95,332.65,4758000,326.482
2014-06-13,342.40,343.50,329.25,333.30,6190700,327.12
2014-06-12,351.00,352.65,339.65,342.00,6284100,335.658
2014-06-11,363.00,365.00,350.25,355.35,4873800,348.761
2014-06-10,362.55,366.50,356.25,361.55,8509400,354.846
2014-06-09,359.35,363.50,353.50,356.40,8547700,349.791
2014-06-06,359.80,367.15,351.40,355.90,6465000,349.301
2014-06-05,354.00,360.00,350.50,355.20,7345600,348.614
2014-06-04,360.00,361.20,350.65,353.90,5647300,347.338
2014-06-03,364.70,366.15,355.55,360.20,5846800,353.521
2014-06-02,345.00,365.00,341.25,361.60,6206400,354.895
2014-05-30,339.00,346.90,339.00,344.10,4357500,337.719
2014-05-29,342.20,348.85,335.50,337.55,7234300,331.291
2014-05-28,337.50,344.00,334.25,341.60,5422900,335.266
2014-05-27,340.00,340.00,333.00,335.90,3940100,329.671
2014-05-26,345.05,349.05,336.20,339.50,6230600,333.205
2014-05-23,333.60,348.00,333.60,343.65,6473500,337.278
2014-05-22,339.90,340.50,330.70,332.60,3796300,326.433
2014-05-21,348.00,349.95,335.70,339.30,3426600,333.008
2014-05-20,340.00,349.90,338.35,347.55,7716000,341.105
2014-05-19,332.90,344.30,332.30,338.20,4936500,331.929
2014-05-16,326.00,346.00,326.00,330.75,13790100,324.617
2014-05-15,325.40,326.00,318.45,321.40,3043100,315.44
2014-05-14,322.50,325.00,320.50,323.20,2746100,317.207
2014-05-13,321.15,325.75,314.65,319.20,5290000,313.281
2014-05-12,310.15,319.70,310.15,317.55,2842700,311.662
2014-05-09,308.00,313.80,307.50,309.45,4375800,303.712
2014-05-08,312.00,315.30,307.00,308.00,3641500,302.289
2014-05-07,314.50,316.00,305.25,311.00,5881900,305.233
2014-05-06,321.75,323.00,313.35,314.90,3626600,309.061
2014-05-05,325.00,327.60,318.60,320.30,2481700,314.361
2014-05-02,328.05,331.55,322.10,325.60,4217300,319.563
2014-05-01,328.05,328.05,328.05,328.05,000,321.967
2014-04-30,339.30,343.60,323.35,328.05,5975800,321.967
2014-04-29,340.95,341.60,330.65,335.00,4399100,328.788
2014-04-28,340.35,343.45,334.80,337.65,1858100,331.389
2014-04-25,339.25,345.50,337.35,341.70,4735200,335.364
2014-04-24,338.80,338.80,338.80,338.80,000,332.518
2014-04-23,335.25,341.50,334.55,338.80,9125500,332.518
2014-04-22,336.00,337.65,331.60,335.25,3608100,329.034
2014-04-21,326.00,336.40,325.35,334.80,2101200,328.592
2014-04-18,325.55,325.55,325.55,325.55,000,319.513
2014-04-17,325.00,326.90,321.00,325.55,2505900,319.513
2014-04-16,326.00,330.00,321.50,323.70,2359500,317.698
2014-04-15,320.60,330.40,320.60,325.25,6342600,319.219
2014-04-14,322.25,322.25,322.25,322.25,000,316.275
